name,src_file,src_line,self_total_ms,calls,self_mean_us,self_max_ms
LLOcclusionCullingGroup::getNewOcclusionQueryObjectName,E:\BoxxyViewer\indra\newview\llvieweroctree.cpp,801,0.472018,45406,0.010395498392282957,0.012266
LLDefaultVBOPool::clean,E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp,535,0.468255,45,10.405666666666667,0.024534
LLMeshCostData::init,E:\BoxxyViewer\indra\newview\llmeshrepository.cpp,5479,0.464909,6441,0.0721796304921596,0.000901
LLVOVolume::getRenderCost,E:\BoxxyViewer\indra\newview\llvovolume.cpp,4240,0.463169,3490,0.1327131805157593,0.001217
LLDrawPoolBump::renderBump,E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp,518,0.459406,1850,0.24832756756756758,0.00144
LLPipeline::updateMove,E:\BoxxyViewer\indra\newview\pipeline.cpp,2193,0.458507,173,2.650329479768786,0.035833
media misc,E:\BoxxyViewer\indra\newview\llviewermedia.cpp,717,0.45125,172,2.623546511627907,0.006694
LLVOVolume::genBBoxes,E:\BoxxyViewer\indra\newview\llvovolume.cpp,1913,0.45032,1544,0.2916580310880829,0.003812
LLViewerWindow::setup3DViewport,E:\BoxxyViewer\indra\newview\llviewerwindow.cpp,5887,0.44457,15483,0.028713427630304204,0.001282
LLMotionController::updateLoadingMotions,E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp,781,0.441361,15538,0.02840526451280731,0.011881
LLViewerJointMesh::updateFaceData,E:\BoxxyViewer\indra\newview\llviewerjointmesh.cpp,342,0.43834,403,1.0876923076923075,0.016035
LL::WorkQueueBase::runFor,E:\BoxxyViewer\indra\llcommon\workqueue.h,171,0.436886,1290,0.33867131782945736,0.006688
LLPipeline::renderDebug,E:\BoxxyViewer\indra\newview\pipeline.cpp,4502,0.429416,866,0.4958614318706697,0.016119
genDrawInfo - sort,E:\BoxxyViewer\indra\newview\llvovolume.cpp,6584,0.422091,12464,0.03386481065468549,0.016081
LLViewerTexture::updateClass,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,488,0.420972,173,2.433364161849711,0.003568
FTM_MEDIA_UPDATE_VOLUME,E:\BoxxyViewer\indra\newview\llviewermedia.cpp,2156,0.419589,688,0.6098677325581395,0.001908
rebuildMesh - gen draw info,E:\BoxxyViewer\indra\newview\llvovolume.cpp,6443,0.417423,742,0.5625646900269542,0.006072
LLRenderPass::pushRiggedGLTFBatches,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,992,0.413704,3019,0.1370334547863531,0.002377
LLPerfStats::StatsRecorder::doUpd,E:\BoxxyViewer\indra\newview\llperfstats.h,273,0.413592,1721,0.2403207437536316,0.001611
vftuf - priority <= 0,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,2253,0.413493,4826,0.08568027351844178,0.002088
LLViewerTexture::reorganizeVolumeList,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,1026,0.412305,44982,0.009165999733226623,0.003085
LLRenderPass::pushGLTFBatches,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,915,0.408724,3363,0.12153553374962832,0.006268
LLViewerWindow::cubeSnapshot,E:\BoxxyViewer\indra\newview\llviewerwindow.cpp,5620,0.402383,172,2.339436046511628,0.003695
LLDrawPoolBump::renderDeferred,E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp,543,0.394221,578,0.6820432525951557,0.002271
LLPipeline::doAtmospherics,E:\BoxxyViewer\indra\newview\pipeline.cpp,9206,0.390532,867,0.4504405997693195,0.003365
LLUIImageList::getUIImage,E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp,1644,0.382604,192,1.9927291666666667,0.003429
Network,E:\BoxxyViewer\indra\newview\llappviewer.cpp,5372,0.382323,172,2.2228081395348838,0.004081
LLWindowWin32::LLWindowWin32Thread::run,E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp,5558,0.380915,110,3.4628636363636365,0.005633
doOcclusion - set state,E:\BoxxyViewer\indra\newview\llvieweroctree.cpp,1289,0.372515,45099,0.008259939244772613,0.002007
renderDeferredLighting - soften shadow,E:\BoxxyViewer\indra\newview\pipeline.cpp,8695,0.368841,173,2.1320289017341043,0.004044
LLTextureFetchWorker::endWork,E:\BoxxyViewer\indra\newview\lltexturefetch.cpp,2066,0.367714,14,26.265285714285714,0.042568
LLViewerMediaImpl::calculateInterest,E:\BoxxyViewer\indra\newview\llviewermedia.cpp,3751,0.366625,688,0.5328851744186046,0.00384
unmapBuffer - index,E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp,1518,0.36643,3539,0.10354054817745126,0.002929
LLGLSLShader::bindTexture,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1159,0.359912,3619,0.09945067698259187,0.004768
LLVOVolume::getCostData,E:\BoxxyViewer\indra\newview\llvovolume.cpp,4566,0.357265,3490,0.10236819484240688,0.001553
shadow alpha,E:\BoxxyViewer\indra\newview\pipeline.cpp,9935,0.356428,1024,0.34807421875,0.002504
LLEventPolling::Details::LLEventPollImpl::handleMessage,E:\BoxxyViewer\indra\newview\lleventpoll.cpp,101,0.355999,23,15.478217391304348,0.021016
LLViewerTexture::bindDefaultImage,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,832,0.353057,4243,0.08320928588263021,0.001373
LLTextureFetchWorker::doWork,E:\BoxxyViewer\indra\newview\lltexturefetch.cpp,1039,0.35148,210,1.6737142857142857,0.089595
renderDeferredLighting - atmospherics,E:\BoxxyViewer\indra\newview\pipeline.cpp,8772,0.346537,345,1.0044550724637682,0.007629
LLViewerObject::unpackParticleSource,E:\BoxxyViewer\indra\newview\llviewerobject.cpp,6447,0.34647,312,1.1104807692307692,0.004274
LLDrawPoolMaterials::beginDeferredPass,E:\BoxxyViewer\indra\newview\lldrawpoolmaterials.cpp,55,0.345079,13872,0.024875937139561707,0.00638
LLDrawPoolMaterials::endDeferredPass,E:\BoxxyViewer\indra\newview\lldrawpoolmaterials.cpp,98,0.340401,13872,0.02453871107266436,0.026186
LLSettingsVOSky::updateSettings,E:\BoxxyViewer\indra\newview\llsettingsvo.cpp,660,0.340102,173,1.965907514450867,0.003332
LLDrawPoolTerrain::beginShadowPass,E:\BoxxyViewer\indra\newview\lldrawpoolterrain.cpp,157,0.332376,1024,0.3245859375,0.001782
LLCore::HttpOpRequest::sslCertVerifyCallback,E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp,1052,0.3295,1,329.5,0.3295
LLSD::operator [],E:\BoxxyViewer\indra\llcommon\llsd.cpp,1150,0.328059,6394,0.05130731936190178,0.007018
LLTextBase::updateSegments,E:\BoxxyViewer\indra\llui\lltextbase.cpp,2189,0.322755,20127,0.01603592189596065,0.004966
vftuf - current <= desired,E:\BoxxyViewer\indra\newview\llviewertexture.cpp,2288,0.322448,33814,0.009535931862542143,0.003116
LLGLSLShader::uniform4fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1978,0.321855,4702,0.06845065929391748,0.002682
