name|src_file|src_line|ns_since_start|exec_time_ns|thread
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681646491174|3870|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681674153028|4319|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681702339475|4158|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681731228073|4209|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681758934401|6096|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681788488699|3836|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681820238450|4140|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681847796198|3822|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681876412422|4125|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681905505376|4002|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681936541792|4171|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681965047846|3959|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2681995095053|4431|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682022752439|4195|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682053442032|4018|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682080647669|3993|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682112845434|3590|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682149598893|4103|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682178055867|3816|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682207736326|3786|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682236656655|3861|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682268473175|3728|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682295242189|3835|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682324057941|3857|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682352531031|3779|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682383139309|3704|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682409141032|3710|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682435736603|3874|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682463410484|3845|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682493668848|4198|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682519811992|3872|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682548045939|4106|1
"Exact OIT prepare capture"|E:\BoxxyViewer\indra\newview\fsexactoit.cpp|833|2682577772187|3706|1
