name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
LLDefaultVBOPool::clean|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|535|1290432|0.000048|45|28676|6273|748846|110221.270133
LLTextureFetch::releaseHttpWaiters|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|3306|90260|0.000003|172|524|117|3062|442.901980
FTM_GEO_UPDATE|E:\BoxxyViewer\indra\newview\pipeline.cpp|2917|52027511|0.001936|173|300737|201381|754775|77071.048432
"lllog"|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|1137|2143|0.000000|19|112|9|207|56.083767
"unmapBuffer - vertex"|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1484|17099752|0.000636|7227|2366|83|310121|10461.647080
"deferred"|E:\BoxxyViewer\indra\newview\pipeline.cpp|8635|43282832|0.001611|345|125457|46610|365949|44061.485153
"audio update"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|5619|10431021|0.000388|173|60294|30376|202583|25854.673909
LLQueuedThread::updateQueue|E:\BoxxyViewer\indra\llcommon\llqueuedthread.cpp|157|2159691|0.000080|516|4185|1326|19309|1750.991618
LLSpatialPartition::put|E:\BoxxyViewer\indra\newview\llspatialpartition.cpp|930|2302916|0.000086|1355|1699|99|14629|1718.540880
LLDrawable::makeActive|E:\BoxxyViewer\indra\newview\lldrawable.cpp|500|3915930|0.000146|95056|41|5|23268|108.155390
"rmmun - search"|E:\BoxxyViewer\indra\newview\llreflectionmapmanager.cpp|1079|30294|0.000001|24|1262|738|2145|314.335600
LLVolume::generate|E:\BoxxyViewer\indra\llmath\llvolume.cpp|2047|352444|0.000013|70|5034|199|27492|6083.685839
LLDrawPoolMaterials::beginDeferredPass|E:\BoxxyViewer\indra\newview\lldrawpoolmaterials.cpp|55|35286525|0.001313|13872|2543|1328|41729|968.676727
LLTerrainMaterials::getMaterialType|E:\BoxxyViewer\indra\newview\llvlcomposition.cpp|212|96629|0.000004|202|478|163|1336|153.695360
LLBumpImageList::getBrightnessDarknessImage|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|753|90728|0.000003|132|687|20|9825|2032.383593
"glTexImage2D alloc"|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1470|16401|0.000001|35|468|14|1308|471.040869
"lllog"|E:\BoxxyViewer\indra\newview\pipeline.cpp|11492|12928|0.000000|261|49|6|707|53.040804
LLTextureFetch::cmdDequeue|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|3503|44099|0.000002|172|256|108|1997|261.214695
LLTextureCacheWorker::doWork|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|709|18038894|0.000671|35|515396|2913|4424739|717681.771645
LLLayoutStack::updateLayout|E:\BoxxyViewer\indra\llui\lllayoutstack.cpp|412|188434|0.000007|11180|16|5|7343|99.435591
LLPipeline::updateGL|E:\BoxxyViewer\indra\newview\pipeline.cpp|2797|143859|0.000005|173|831|44|21033|1703.642507
"display - 1"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|730|3834897914|0.142731|172|22295918|18665702|34580467|1915506.906813
"lllog"|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|1233|232|0.000000|2|116|115|117|1.414214
LL::GLTFSceneManager::render|E:\BoxxyViewer\indra\newview\gltfscenemanager.cpp|603|652328|0.000024|19688|33|6|925|48.896461
LLDrawPoolAvatar::endDeferredSkinned|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|653|77155|0.000003|607|127|58|1272|101.512733
LLViewerParcelOverlay::updateGL|E:\BoxxyViewer\indra\newview\llviewerparceloverlay.cpp|633|80935|0.000003|77|1051|611|20347|2230.541042
render_ui|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|1475|533120173|0.019842|172|3099535|2420060|4535228|355404.984297
LLImageGL::setSubImage|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1225|19070|0.000001|1|19070|19070|19070|0.000000
LLImageGL::createPickMask|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|2389|537|0.000000|1|537|537|537|0.000000
"lllog"|E:\BoxxyViewer\indra\llaudio\llaudioengine.cpp|1680|724|0.000000|3|241|163|318|77.514515
Sleep2|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1533|3705960|0.000138|172|21546|14831|57460|6076.881787
LLImageGL::setSubImage|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1116|18573|0.000001|1|18573|18573|18573|0.000000
LLPipeline::createObject|E:\BoxxyViewer\indra\newview\pipeline.cpp|2036|315099|0.000012|41|7685|5745|10981|1120.797863
LLCore::HttpOpRequest::stageFromReady|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|211|614931|0.000023|43|14300|3429|47716|10189.001340
"getGeometryVolume - emissive"|E:\BoxxyViewer\indra\newview\llface.cpp|2135|354255|0.000013|1929|183|35|30545|838.595086
LLGLSLShader::uniform2fv|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1526|277884|0.000010|14262|19|6|1997|44.556449
