name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
"vftuf - is fetching"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|2205|7596|0.000000|14|542|37|1038|42480.939678
LLTrace::AccumulatorBuffer<class LLTrace::TimeBlockAccumulator>::AccumulatorBuffer|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h|68|180919|0.000007|344|525|118|1616|476.398371
"vftuf - priority <= 0"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|2253|413493|0.000015|4826|85|5|2088|74.809734
"mesh_thread_loop"|E:\BoxxyViewer\indra\newview\llmeshrepository.cpp|1027|1003206|0.000037|1118|897|85|24899|81459.956293
LLVolumeGeometryManager::registerFace|E:\BoxxyViewer\indra\newview\llvovolume.cpp|5585|7059182|0.000263|4848|1456|54|24275|1255.158802
`anonymous-namespace'::RecordToFixedBuffer::recordMessage|E:\BoxxyViewer\indra\llcommon\llerror.cpp|316|146136|0.000005|44|3321|1319|6996|1739.424270
"System Messages"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1390|19849|0.000001|172|115|54|680|59.390225
LLTextureFetch::addToHTTPQueue|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|2652|7512|0.000000|17|441|133|1640|528.865236
LLViewerObject::recursiveGetScaledSurfaceArea|E:\BoxxyViewer\indra\newview\llviewerobject.cpp|4271|482798|0.000018|212|2277|103|40370|4893.444020
LLVertexBuffer::mapVertexBuffer|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1282|3280562|0.000122|42862|76|8|104254|596.656140
